time	T1	T2	T3	T4	T5	T6	P
1.0343985557556152	0.0	-1	-1	-1	-1	-1	
2.533527374267578	0.003268679253894839	-1	-1	-1	-1	-1	
4.036647319793701	0.013074717015579357	-1	-1	-1	-1	-1	
5.535775661468506	0.0	-1	-1	-1	-1	-1	
7.038896560668945	0.009806037761684516	-1	-1	-1	-1	-1	
8.539023637771606	0.0	-1	-1	-1	-1	-1	
10.037147998809814	0.006537358507789678	-1	-1	-1	-1	-1	
11.541272163391113	0.0	-1	-1	-1	-1	-1	
13.040396213531494	0.003268679253894839	-1	-1	-1	-1	-1	
14.543519735336304	0.006537358507789678	-1	-1	-1	-1	-1	
16.04264497756958	0.013074717015579357	-1	-1	-1	-1	-1	
17.54577374458313	0.009806037761684516	-1	-1	-1	-1	-1	
19.044894456863403	0.0	-1	-1	-1	-1	-1	
20.54802107810974	0.0	-1	-1	-1	-1	-1	
22.047144412994385	0.026149434031158714	-1	-1	-1	-1	-1	
23.550270080566406	3.8711330533917563	-1	-1	-1	-1	-1	
25.05439019203186	6.663601952998214	-1	-1	-1	-1	-1	
26.553516387939453	7.56436134048655	-1	-1	-1	-1	-1	
28.056647300720215	8.039218719096121	-1	-1	-1	-1	-1	
29.55576467514038	8.377036719986155	-1	-1	-1	-1	-1	
31.058890104293823	8.57144141861155	-1	-1	-1	-1	-1	
32.55801439285278	8.749911305874209	-1	-1	-1	-1	-1	
34.06113886833191	8.890137645866298	-1	-1	-1	-1	-1	
35.560264587402344	8.925194230864319	-1	-1	-1	-1	-1	
37.06438636779785	9.043111834948576	-1	-1	-1	-1	-1	
38.56750988960266	9.078168419946598	-1	-1	-1	-1	-1	
40.07063412666321	9.132346778579906	-1	-1	-1	-1	-1	
41.569764852523804	9.199272986303402	-1	-1	-1	-1	-1	
43.07288336753845	9.208833873121044	-1	-1	-1	-1	-1	
44.575007915496826	9.24070349584652	-1	-1	-1	-1	-1	
46.07513165473938	9.275760080844542	-1	-1	-1	-1	-1	
47.579254388809204	8.883763721321202	-1	-1	-1	-1	-1	
49.078381061553955	7.755579076839398	-1	-1	-1	-1	-1	
50.581523180007935	7.118186622329905	-1	-1	-1	-1	-1	
52.080629110336304	6.379226857909362	-1	-1	-1	-1	-1	
53.583754777908325	5.945880204212816	-1	-1	-1	-1	-1	
55.08687615394592	5.522014221964003	-1	-1	-1	-1	-1	
56.5866003036499	5.114083051077927	-1	-1	-1	-1	-1	
58.08972406387329	4.741208465189874	-1	-1	-1	-1	-1	
59.621829986572266	4.441634011570411	-1	-1	-1	-1	-1	
61.0919725894928	4.008207142503956	-1	-1	-1	-1	-1	
62.61708402633667	3.570414562033431	-1	-1	-1	-1	-1	
64.09822010993958	3.3971745615770046	-1	-1	-1	-1	-1	
65.59834504127502	3.089918711710889	-1	-1	-1	-1	-1	
67.10147523880005	2.8868921207476266	-1	-1	-1	-1	-1	
68.60082983970642	2.565008931220332	-1	-1	-1	-1	-1	
70.09919953346252	2.2909301757812504	-1	-1	-1	-1	-1	
71.60350465774536	2.0774037035205697	-1	-1	-1	-1	-1	
73.1016321182251	1.9754209107990508	-1	-1	-1	-1	-1	
74.60575342178345	1.7077160799050635	-1	-1	-1	-1	-1	
76.1048800945282	1.506937456734573	-1	-1	-1	-1	-1	
77.60800290107727	1.3507763053797468	-1	-1	-1	-1	-1	
79.10712957382202	1.1308759085739715	-1	-1	-1	-1	-1	
80.6102523803711	1.0065843799446201	-1	-1	-1	-1	-1	
82.10937762260437	0.8563939645204478	-1	-1	-1	-1	-1	
83.61250424385071	0.689691322571811	-1	-1	-1	-1	-1	
85.11162900924683	0.6373924545094936	-1	-1	-1	-1	-1	
86.61175322532654	0.5393320768926484	-1	-1	-1	-1	-1	
88.11487603187561	0.3758981141979065	-1	-1	-1	-1	-1	
89.61400103569031	0.3334052838972736	-1	-1	-1	-1	-1	
91.11712574958801	0.2713003780732716	-1	-1	-1	-1	-1	
92.61625146865845	0.20265811374148002	-1	-1	-1	-1	-1	
94.11937260627747	0.10786641537852969	-1	-1	-1	-1	-1	
95.61949753761292	0.08825433985516065	-1	-1	-1	-1	-1	
97.12162017822266	0.06537358507789678	-1	-1	-1	-1	-1	
98.62174606323242	0.039224151046738064	-1	-1	-1	-1	-1	
100.1248688697815	0.04249283030063291	-1	-1	-1	-1	-1	
101.62399196624756	0.03595547179284323	-1	-1	-1	-1	-1	
103.12712073326111	0.016343396269474196	-1	-1	-1	-1	-1	
104.62623953819275	0.03595547179284323	-1	-1	-1	-1	-1	
106.12636399269104	0.022880754777263874	-1	-1	-1	-1	-1	
107.62849235534668	0.009806037761684516	-1	-1	-1	-1	-1	
109.12761163711548	0.039224151046738064	-1	-1	-1	-1	-1	
110.6317355632782	0.03268679253894839	-1	-1	-1	-1	-1	
112.1298599243164	0.013074717015579357	-1	-1	-1	-1	-1	
113.63398098945618	0.006537358507789678	-1	-1	-1	-1	-1	
115.13310599327087	0.013074717015579357	-1	-1	-1	-1	-1	
116.63623380661011	0.0	-1	-1	-1	-1	-1	
118.13535523414612	0.003268679253894839	-1	-1	-1	-1	-1	
119.63847851753235	0.013074717015579357	-1	-1	-1	-1	-1	
121.13760232925415	0.003268679253894839	-1	-1	-1	-1	-1	
122.63672614097595	0.0	-1	-1	-1	-1	-1	
124.13984847068787	0.019612075523369032	-1	-1	-1	-1	-1	
125.63997340202332	0.0	-1	-1	-1	-1	-1	
127.14309525489807	0.0	-1	-1	-1	-1	-1	
128.64222025871277	0.013074717015579357	-1	-1	-1	-1	-1	
130.145343542099	0.0	-1	-1	-1	-1	-1	
131.644469499588	0.0	-1	-1	-1	-1	-1	
133.1475911140442	0.006537358507789678	-1	-1	-1	-1	-1	
134.6467204093933	0.006537358507789678	-1	-1	-1	-1	-1	
136.14983868598938	0.003268679253894839	-1	-1	-1	-1	-1	
137.64896249771118	0.009806037761684516	-1	-1	-1	-1	-1	
139.14908695220947	0.0	-1	-1	-1	-1	-1	
140.6522092819214	0.0	-1	-1	-1	-1	-1	
142.15134286880493	0.006537358507789678	-1	-1	-1	-1	-1	
143.65545773506165	0.019612075523369032	-1	-1	-1	-1	-1	
145.15459084510803	0.0	-1	-1	-1	-1	-1	
146.65670371055603	0.0	-1	-1	-1	-1	-1	
148.15582966804504	0.013074717015579357	-1	-1	-1	-1	-1	
149.65895318984985	0.0	-1	-1	-1	-1	-1	
151.15807628631592	0.003268679253894839	-1	-1	-1	-1	-1	
152.66220045089722	0.003268679253894839	-1	-1	-1	-1	-1	
154.1613245010376	0.0	-1	-1	-1	-1	-1	
155.66445112228394	0.013074717015579357	-1	-1	-1	-1	-1	
157.16357231140137	0.013074717015579357	-1	-1	-1	-1	-1	
158.66270065307617	0.0	-1	-1	-1	-1	-1	
160.16581773757935	0.009806037761684516	-1	-1	-1	-1	-1	
161.66594433784485	0.003268679253894839	-1	-1	-1	-1	-1	
163.16806554794312	0.003268679253894839	-1	-1	-1	-1	-1	
164.6681911945343	0.003268679253894839	-1	-1	-1	-1	-1	
166.17131280899048	0.006537358507789678	-1	-1	-1	-1	-1	
167.67043733596802	0.019612075523369032	-1	-1	-1	-1	-1	
169.1735599040985	0.0	-1	-1	-1	-1	-1	
170.67268443107605	0.006537358507789678	-1	-1	-1	-1	-1	
172.17580771446228	0.009806037761684516	-1	-1	-1	-1	-1	
173.6759328842163	0.013074717015579357	-1	-1	-1	-1	-1	
175.1780548095703	0.0	-1	-1	-1	-1	-1	
176.6781804561615	0.006537358507789678	-1	-1	-1	-1	-1	
178.1773054599762	0.013074717015579357	-1	-1	-1	-1	-1	
179.68042635917664	0.013074717015579357	-1	-1	-1	-1	-1	
181.1795573234558	0.006537358507789678	-1	-1	-1	-1	-1	
182.6826765537262	0.0	-1	-1	-1	-1	-1	
184.18179988861084	0.003268679253894839	-1	-1	-1	-1	-1	
185.68592166900635	0.0	-1	-1	-1	-1	-1	
187.18404722213745	0.016343396269474196	-1	-1	-1	-1	-1	
188.68816876411438	0.003268679253894839	-1	-1	-1	-1	-1	
190.18729329109192	0.0	-1	-1	-1	-1	-1	
191.6904172897339	0.0	-1	-1	-1	-1	-1	
193.18954014778137	0.0	-1	-1	-1	-1	-1	
194.68866848945618	0.009806037761684516	-1	-1	-1	-1	-1	
196.19178891181946	0.0	-1	-1	-1	-1	-1	
197.69091820716858	0.003268679253894839	-1	-1	-1	-1	-1	
