time	T1	T2	T3	T4	T5	T6	P
0.5156149864196777	175.96765967206431	32.148056521013245	-1	-1	-1	-1	1.759e-07
2.0156004428863525	175.83626059383738	32.148056521013245	-1	-1	-1	-1	1.759e-07
3.5155789852142334	175.81748929694783	32.148056521013245	-1	-1	-1	-1	1.752e-07
5.031185626983643	175.91134578139562	32.148056521013245	-1	-1	-1	-1	1.76e-07
6.51554274559021	175.96140257310114	32.148056521013245	-1	-1	-1	-1	1.76e-07
8.03114914894104	175.9801738699907	32.148056521013245	-1	-1	-1	-1	1.759e-07
9.531131267547607	176.00207371636182	32.148056521013245	-1	-1	-1	-1	1.75e-07
11.031113386154175	175.98955951843547	32.148056521013245	-1	-1	-1	-1	1.75e-07
12.531099081039429	175.97391677102752	32.148056521013245	-1	-1	-1	-1	1.751e-07
14.031075239181519	175.93950272672996	32.148056521013245	-1	-1	-1	-1	1.759e-07
15.531063556671143	175.92698852880358	32.148056521013245	-1	-1	-1	-1	1.759e-07
17.032562255859375	175.93637417724835	32.148056521013245	-1	-1	-1	-1	1.778e-07
18.53255009651184	175.90508868243242	32.148056521013245	-1	-1	-1	-1	1.75e-07
